Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
Windows Calculator	Windows Calculator	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.WindowsCalculator_8wekyb3d8bbwe	
Windows Camera	Windows Camera	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.WindowsCamera_8wekyb3d8bbwe	
Windows Clock	Windows Clock	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.WindowsAlarms_8wekyb3d8bbwe	
Windows Collaboration Computer Name Registration Service (PNRP-Out)	Windows Collaboration Computer Name Registration Service	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	3540	Any	Any	Any	Any	
Windows Collaboration Computer Name Registration Service (SSDP-Out)	Windows Collaboration Computer Name Registration Service	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	1900	Any	Any	Any	Any	
Windows Default Lock Screen	Windows Default Lock Screen	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.lockapp_cw5n1h2txyewy	
Windows Defender SmartScreen	Windows Defender SmartScreen	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.windows.apprep.chxapp_cw5n1h2txyewy	
Windows Device Management Certificate Installer (TCP out)	Windows Device Management	All	Yes	Allow	No	%SystemRoot%\system32\dmcertinst.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Device Management Device Enroller (TCP out)	Windows Device Management	All	Yes	Allow	No	%SystemRoot%\system32\deviceenroller.exe	Any	Any	TCP	Any	80, 443	Any	Any	Any	Any	
Windows Device Management Enrollment Service (TCP out)	Windows Device Management	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Device Management Sync Client (TCP out)	Windows Device Management	All	Yes	Allow	No	%SystemRoot%\system32\omadmclient.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Management Instrumentation (WMI-Out)	Windows Management Instrumentation (WMI)	Domain	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Management Instrumentation (WMI-Out)	Windows Management Instrumentation (WMI)	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	
Windows Maps	Windows Maps	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.WindowsMaps_8wekyb3d8bbwe	
Windows Media Player (TCP-Out)	Windows Media Player	All	No	Allow	No	%ProgramFiles%\Windows Media Player\wmplayer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player (UDP-Out)	Windows Media Player	All	No	Allow	No	%ProgramFiles%\Windows Media Player\wmplayer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player x86 (TCP-Out)	Windows Media Player	All	No	Allow	No	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player x86 (UDP-Out)	Windows Media Player	All	No	Allow	No	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (HTTP-Streaming-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	System	Any	Any	TCP	Any	10243	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (HTTP-Streaming-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	System	Any	Local subnet	TCP	Any	10243	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (qWave-TCP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	2177	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (qWave-TCP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	2177	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (qWave-UDP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	2177	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (qWave-UDP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	2177	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (SSDP-Out)	Windows Media Player Network Sharing Service	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	1900	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (Streaming-TCP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (Streaming-TCP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (Streaming-UDP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (Streaming-UDP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (TCP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (TCP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (UDP-Out)	Windows Media Player Network Sharing Service	Private, Public	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (UDP-Out)	Windows Media Player Network Sharing Service	Domain	No	Allow	No	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (UPnPHost-Out)	Windows Media Player Network Sharing Service	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	
Windows Media Player Network Sharing Service (UPnP-Out)	Windows Media Player Network Sharing Service	All	No	Allow	No	System	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	
Windows Peer to Peer Collaboration Foundation (PNRP-Out)	Windows Peer to Peer Collaboration Foundation	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	3540	Any	Any	Any	Any	
Windows Peer to Peer Collaboration Foundation (SSDP-Out)	Windows Peer to Peer Collaboration Foundation	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	1900	Any	Any	Any	Any	
Windows Peer to Peer Collaboration Foundation (TCP-Out)	Windows Peer to Peer Collaboration Foundation	All	No	Allow	No	%SystemRoot%\system32\p2phost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
Windows Peer to Peer Collaboration Foundation (WSD-Out)	Windows Peer to Peer Collaboration Foundation	All	No	Allow	No	%SystemRoot%\system32\p2phost.exe	Any	Local subnet	UDP	Any	3702	Any	Any	Any	Any	
Windows Security	Windows Security	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.windows.sechealthui_cw5n1h2txyewy	
Windows Shell Experience	Windows Shell Experience	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.windows.peopleexperiencehost_cw5n1h2txyewy	
Windows Shell Experience	Windows Shell Experience	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.windows.shellexperiencehost_cw5n1h2txyewy	
Windows Shell Experience	Windows Shell Experience	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-4033768160-3500448944-142651216-1000	microsoft.windows.shellexperiencehost_cw5n1h2txyewy	
Wireless Display (TCP-Out)	Wireless Display	All	Yes	Allow	No	%systemroot%\system32\WUDFHost.exe	Any	Any	TCP	Any	Any	Any	NT AUTHORITY\USER MODE DRIVERS	Any	Any	
Wireless Display (UDP-Out)	Wireless Display	All	Yes	Allow	No	%systemroot%\system32\WUDFHost.exe	Any	Any	UDP	Any	Any	Any	NT AUTHORITY\USER MODE DRIVERS	Any	Any	
Wireless Portable Devices (SSDP-Out)	Wireless Portable Devices	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	Any	1900	Any	Any	Any	Any	
Wireless Portable Devices (TCP-Out)	Wireless Portable Devices	Domain	No	Allow	No	%SystemRoot%\system32\wudfhost.exe	Any	Any	TCP	Any	15740	Any	Any	Any	Any	
Wireless Portable Devices (TCP-Out)	Wireless Portable Devices	Private, Public	No	Allow	No	%SystemRoot%\system32\wudfhost.exe	Any	Local subnet	TCP	Any	15740	Any	Any	Any	Any	
Wireless Portable Devices (UPnPHost-Out)	Wireless Portable Devices	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	2869	Any	Any	Any	Any	
Wireless Portable Devices (UPnP-Out)	Wireless Portable Devices	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	2869	Any	Any	Any	Any	
WFD ASP Coordination Protocol (UDP-Out)	WLAN Service - WFD Application Services Platform Coordination Protocol (Uses UDP)	All	Yes	Allow	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	7235	7235	Any	Any	Any	Any	
WFD Driver-only (TCP-Out)	WLAN Service - WFD Services Kernel Mode Driver Rules	All	Yes	Allow	No	System	Any	Any	TCP	Any	Any	Any	Any	Any	Any	
WFD Driver-only (UDP-Out)	WLAN Service - WFD Services Kernel Mode Driver Rules	All	Yes	Allow	No	System	Any	Any	UDP	Any	Any	Any	Any	Any	Any	
Work or school account	Work or school account	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.aad.brokerplugin_cw5n1h2txyewy	
Work or school account	Work or school account	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-4033768160-3500448944-142651216-1000	microsoft.aad.brokerplugin_cw5n1h2txyewy	
Xbox Console Companion	Xbox Console Companion	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.XboxApp_8wekyb3d8bbwe	
Xbox Game Bar	Xbox Game Bar	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.XboxGamingOverlay_8wekyb3d8bbwe	
Xbox Game Bar Plugin	Xbox Game Bar Plugin	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.XboxGameOverlay_8wekyb3d8bbwe	
Xbox Game UI	Xbox Game UI	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.xboxgamecallableui_cw5n1h2txyewy	
Xbox Identity Provider	Xbox Identity Provider	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.XboxIdentityProvider_8wekyb3d8bbwe	
Xbox TCUI	Xbox TCUI	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	Microsoft.Xbox.TCUI_8wekyb3d8bbwe	
Your account	Your account	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-4033768160-3500448944-142651216-1000	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
Your account	Your account	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
Your Phone	Your Phone	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-5R7L0EG\pc	microsoft.yourphone_8wekyb3d8bbwe	
